FUENTE_ARCHIVO,ACTIVIDAD,CODIGO_LLAVE,CODIGO_ANTERIOR,CODIGO_SISTEMA_LIMPIO,MUNICIPIO,MUNICIPIO_NORM,LOCALIDADES_ABASTECIDAS,LOCALIDAD_NORM,NOMBRE_SISTEMA,NOMBRE_SISTEMA_NORM,PERSONA_PRESTADORA,ARO,NOMBRE_ARO,ARO_NORM,FUNCIONARIO,FEC_VISITA,FECHA_ACTIVIDAD,FECHA CARGUE,FECHA_CARGUE_DT,ACTA,CONSECUTIVO VISITA,ESTADO,OBSERVACION,Código,Actividad,Actividad_Resumen,PROGRAMADO,FUNCIONARIO_PROGRAMADO,ARO_PROGRAMADO,MUNICIPIO_PROGRAMADO,LOCALIDAD_PROGRAMADA,COINCIDE_FUNCIONARIO_PROGRAMADO
1.3_VisitasMPR.csv,1.3,11052,,11052,CAICEDONIA,CAICEDONIA, SAN GERARDO,SAN GERARDO,ASOCIACION DE USUARIOS DEL ACUEDUCTO DE LA VEREDA SAN GERARDO DE CAICEDONIA,ASOCIACION DE USUARIOS DEL ACUEDUCTO DE LA VEREDA SAN GERARDO DE CAICEDONIA,ASOCIACION DE USUARIOS DEL ACUEDUCTO DE LA VEREDA SAN GERARDO DE CAICEDONIA,2,Aro Centro Tuluà,ARO CENTRO TULUA,WILLIAM ALBERTO CARLOSAMA JIMENEZ,22/04/2026,2026-04-22,2026-05-19,2026-05-19,WAC22042026,136,ABIERTO,,1.3,Visita para la elaboración de mapa de riesgo de la calidad de agua para consumo humano para adopción por la SDS (incluye la ficha de inspeccion sanitaria y anexo tecnico),Visita Mapas de Riesgo Ficah y Anexo Tecnico 1,NO,,,,,SIN DATO
1.3_VisitasMPR.csv,1.3,1116,,1116,BOLÍVAR,BOLIVAR,LA TULIA,LA TULIA,ASOCIACION DE USUARIOS ACUEDUCTO LA TULIA,ASOCIACION DE USUARIOS ACUEDUCTO LA TULIA,ASOCIACION DE USUARIOS ACUEDUCTO LA TULIA,2,Aro Centro Tuluà,ARO CENTRO TULUA,DIANA GIMENA MARTINEZ GONZALEZ,4/04/2026,2026-04-04,2026-04-22,2026-04-22,DM-0404226-2,102,ABIERTO,,1.3,Visita para la elaboración de mapa de riesgo de la calidad de agua para consumo humano para adopción por la SDS (incluye la ficha de inspeccion sanitaria y anexo tecnico),Visita Mapas de Riesgo Ficah y Anexo Tecnico 1,NO,,,,,SIN DATO
1.3_VisitasMPR.csv,1.3,1124,,1124,SAN PEDRO,SAN PEDRO, MONTERREDONDO,MONTERREDONDO,ASOCIACION DE USUARIOS DEL ACUEDUCTO MONTERREDONDO ESP,ASOCIACION DE USUARIOS DEL ACUEDUCTO MONTERREDONDO ESP,ASOCIACION DE USUARIOS DEL ACUEDUCTO MONTERREDONDO ESP,2,Aro Centro Tuluà,ARO CENTRO TULUA,VALERIA PATIÑO HERNANDEZ,22/04/2026,2026-04-22,2026-05-06,2026-05-06,VP22042026-01,130,ABIERTO,,1.3,Visita para la elaboración de mapa de riesgo de la calidad de agua para consumo humano para adopción por la SDS (incluye la ficha de inspeccion sanitaria y anexo tecnico),Visita Mapas de Riesgo Ficah y Anexo Tecnico 1,NO,,,,,SIN DATO
1.3_VisitasMPR.csv,1.3,1282,,1282,VERSALLES,VERSALLES,VEREDA LA BALSORA,VEREDA LA BALSORA,JUNTA ADMINISTRADORA DEL ACUEDUCTO LA BALSORA,JUNTA ADMINISTRADORA DEL ACUEDUCTO LA BALSORA,JUNTA ADMINISTRADORA ACUEDUCTO RURAL VEREDA LA BALSORA           ,1,Aro Norte Cartago,ARO NORTE CARTAGO,ANA MILENA MENDEZ ARANA,8/04/2026,2026-04-08,2026-04-13,2026-04-13,AMM080426,91,ABIERTO,,1.3,Visita para la elaboración de mapa de riesgo de la calidad de agua para consumo humano para adopción por la SDS (incluye la ficha de inspeccion sanitaria y anexo tecnico),Visita Mapas de Riesgo Ficah y Anexo Tecnico 1,NO,,,,,SIN DATO
1.3_VisitasMPR.csv,1.3,12872,,12872,BOLÍVAR,BOLIVAR,EL BOSQUE,EL BOSQUE,ASOCIACION DE USUARIOS DEL ACUEDUCTO EL BOSQUE # 1,ASOCIACION DE USUARIOS DEL ACUEDUCTO EL BOSQUE # 1,ASOCIACION DE USUARIOS DEL ACUEDUCTO EL BOSQUE # 1,2,Aro Centro Tuluà,ARO CENTRO TULUA,DIANA GIMENA MARTINEZ GONZALEZ,24/04/2026,2026-04-24,2026-04-29,2026-04-29,DM-24042026,118,ABIERTO,,1.3,Visita para la elaboración de mapa de riesgo de la calidad de agua para consumo humano para adopción por la SDS (incluye la ficha de inspeccion sanitaria y anexo tecnico),Visita Mapas de Riesgo Ficah y Anexo Tecnico 1,NO,,,,,SIN DATO
1.3_VisitasMPR.csv,1.3,13246,,13246,ANDALUCÍA,ANDALUCIA, PARDO ALTO,PARDO ALTO,ACUEDUCTO RURAL PARDO ALTO,ACUEDUCTO RURAL PARDO ALTO,ACUEDUCTO RURAL PARDO ALTO,2,Aro Centro Tuluà,ARO CENTRO TULUA,WILLIAM ALBERTO CARLOSAMA JIMENEZ,6/04/2026,2026-04-06,2026-04-23,2026-04-23,W060426,111,ABIERTO,,1.3,Visita para la elaboración de mapa de riesgo de la calidad de agua para consumo humano para adopción por la SDS (incluye la ficha de inspeccion sanitaria y anexo tecnico),Visita Mapas de Riesgo Ficah y Anexo Tecnico 1,NO,,,,,SIN DATO
1.3_VisitasMPR.csv,1.3,13517,,13517,YOTOCO,YOTOCO,BUENOS AIRES ,BUENOS AIRES,ACUEDUCTO RURAL EL SOBACO ,ACUEDUCTO RURAL EL SOBACO,ACUEDUCTO RURAL EL SOBACO ,2,Aro Centro Tuluà,ARO CENTRO TULUA,VALERIA PATIÑO HERNANDEZ,7/04/2026,2026-04-07,2026-04-22,2026-04-22,VPH07042026,110,ABIERTO,,1.3,Visita para la elaboración de mapa de riesgo de la calidad de agua para consumo humano para adopción por la SDS (incluye la ficha de inspeccion sanitaria y anexo tecnico),Visita Mapas de Riesgo Ficah y Anexo Tecnico 1,NO,,,,,SIN DATO
1.3_VisitasMPR.csv,1.3,13730,,13730,DAGUA,DAGUA,KM 28 AMBICHINTE,KM 28 AMBICHINTE,ECASP. ESP. - KM 28 AMBICHINTE,ECASP. ESP. - KM 28 AMBICHINTE,ASOCIACION EMPRESA COMUNITARIA ACUEDUCTO BORRERO AYERBE - ECASP. ESP. - KM 28 AMBICHINTE,3,Aro Sur Cali,ARO SUR CALI,DIEGO FERNANDO HOYOS TABORDA,27/04/2026,2026-04-27,2026-04-28,2026-04-28,MPRBAKM26,116,ABIERTO,,1.3,Visita para la elaboración de mapa de riesgo de la calidad de agua para consumo humano para adopción por la SDS (incluye la ficha de inspeccion sanitaria y anexo tecnico),Visita Mapas de Riesgo Ficah y Anexo Tecnico 1,NO,,,,,SIN DATO
1.3_VisitasMPR.csv,1.3,1391,,1391,GUACARÍ,GUACARI,"PUNTE ROJO, LA REUBICACION, SECTOR EL ALTO, VEREDA BELLO HORIZONTE, BARRIO LA CRISTALINA  I y II","PUNTE ROJO, LA REUBICACION, SECTOR EL ALTO, VEREDA BELLO HORIZONTE, BARRIO LA CRISTALINA I Y II",ACUAPUERO,ACUAPUERO,ASOCIACION ADMINISTRADORA DEL ACUEDUCTO RURAL COMUNITARIO DEL CORREGIMIENTO DE PUENTE ROJO ACUASALUD PUENTE ROJO - ACUAPUERO,3,Aro Sur Cali,ARO SUR CALI,LAURA SOFIA LOPEZ CUNDUMI,20/03/2026,2026-03-20,2026-03-31,2026-03-31,MPRPR,89,ABIERTO,,1.3,Visita para la elaboración de mapa de riesgo de la calidad de agua para consumo humano para adopción por la SDS (incluye la ficha de inspeccion sanitaria y anexo tecnico),Visita Mapas de Riesgo Ficah y Anexo Tecnico 1,NO,,,,,SIN DATO
1.3_VisitasMPR.csv,1.3,1396,,1396,EL CERRITO,EL CERRITO,,,,,ACUEDUCTO COMUNITARIO CARRIZAL,3,Aro Sur Cali,ARO SUR CALI,LAURA SOFIA LOPEZ CUNDUMI,15/04/2026,2026-04-15,2026-04-28,2026-04-28,MPRCARR2026,114,ABIERTO,,1.3,Visita para la elaboración de mapa de riesgo de la calidad de agua para consumo humano para adopción por la SDS (incluye la ficha de inspeccion sanitaria y anexo tecnico),Visita Mapas de Riesgo Ficah y Anexo Tecnico 1,NO,,,,,SIN DATO
1.3_VisitasMPR.csv,1.3,1426,,1426,BUGALAGRANDE,BUGALAGRANDE,EL PORVENIR,EL PORVENIR,ASOCIACION DE USUARIOS DEL ACUEDUCTO RURAL COMUNITARIO DE LAS VEREDAS CHICORAL Y EL PORVENIR - ASUACHIJAPOR,ASOCIACION DE USUARIOS DEL ACUEDUCTO RURAL COMUNITARIO DE LAS VEREDAS CHICORAL Y EL PORVENIR - ASUACHIJAPOR,ASOCIACION DE USUARIOS DEL ACUEDUCTO RURAL COMUNITARIO DE LAS VEREDAS CHICORAL Y EL PORVENIR - ASUACHIJAPOR - EL PORVENIR,2,Aro Centro Tuluà,ARO CENTRO TULUA,WILLIAM ALBERTO CARLOSAMA JIMENEZ,21/04/2026,2026-04-21,2026-05-19,2026-05-19,WAC210426,134,ABIERTO,,1.3,Visita para la elaboración de mapa de riesgo de la calidad de agua para consumo humano para adopción por la SDS (incluye la ficha de inspeccion sanitaria y anexo tecnico),Visita Mapas de Riesgo Ficah y Anexo Tecnico 1,NO,,,,,SIN DATO
1.3_VisitasMPR.csv,1.3,181,,181,RIOFRIO,RIOFRIO,VEREDA CALABAZAS                                                                            ,VEREDA CALABAZAS,ASOCIACION DE USUARIOS DEL ACUEDUCTO DE LA VEREDA DE CALABAZAS                                                                                  ,ASOCIACION DE USUARIOS DEL ACUEDUCTO DE LA VEREDA DE CALABAZAS,ASOCIACION DE USUARIOS DEL ACUEDUCTO DE LA VEREDA DE CALABAZAS,2,Aro Centro Tuluà,ARO CENTRO TULUA,DIANA GIMENA MARTINEZ GONZALEZ,25/04/2026,2026-04-25,2026-04-29,2026-04-29,DM25042026,124,ABIERTO,,1.3,Visita para la elaboración de mapa de riesgo de la calidad de agua para consumo humano para adopción por la SDS (incluye la ficha de inspeccion sanitaria y anexo tecnico),Visita Mapas de Riesgo Ficah y Anexo Tecnico 1,NO,,,,,SIN DATO
1.3_VisitasMPR.csv,1.3,18517,,18517,ZARZAL,ZARZAL,GUASIMAL BAJO - GUASIMAL ALTO- ALIZAL,GUASIMAL BAJO - GUASIMAL ALTO- ALIZAL,ASOCIACION DE USUARIOS DE SERVICIOS PUBLICOS DEL ACUEDUCTO GUASIMAL-ALIZAL -ASERPUGAZ.,ASOCIACION DE USUARIOS DE SERVICIOS PUBLICOS DEL ACUEDUCTO GUASIMAL-ALIZAL -ASERPUGAZ.,ASOCIACION DE USUARIOS DE SERVICIOS PUBLICOS DEL ACUEDUCTO GUASIMAL-ALIZAL -ASERPUGAZ.,2,Aro Centro Tuluà,ARO CENTRO TULUA,DIANA GIMENA MARTINEZ GONZALEZ,4/04/2026,2026-04-04,2026-04-22,2026-04-22,DM-040426-1,108,ABIERTO,,1.3,Visita para la elaboración de mapa de riesgo de la calidad de agua para consumo humano para adopción por la SDS (incluye la ficha de inspeccion sanitaria y anexo tecnico),Visita Mapas de Riesgo Ficah y Anexo Tecnico 1,NO,,,,,SIN DATO
1.3_VisitasMPR.csv,1.3,1919,,1919,OBANDO,OBANDO,CORREGIMIENTO VILLA RODAS,CORREGIMIENTO VILLA RODAS,ASOCIACION DE USUARIOS DEL ACUEDUCTO Y ALCANTARILLADO VILLA RODAS #2,ASOCIACION DE USUARIOS DEL ACUEDUCTO Y ALCANTARILLADO VILLA RODAS #2,ASOCIACION DE USUARIOS DEL ACUEDUCTO Y ALCANTARILLADO DE VILLA RODAS # 2,1,Aro Norte Cartago,ARO NORTE CARTAGO,SAIR HAIRTON IBARGUEN RENTERIA,1/04/2026,2026-04-01,2026-04-16,2026-04-16,SHIR01042026-2,99,ABIERTO,,1.3,Visita para la elaboración de mapa de riesgo de la calidad de agua para consumo humano para adopción por la SDS (incluye la ficha de inspeccion sanitaria y anexo tecnico),Visita Mapas de Riesgo Ficah y Anexo Tecnico 1,NO,,,,,SIN DATO
1.3_VisitasMPR.csv,1.3,1922,,1922,OBANDO,OBANDO,CORREGIMIENTO VILLA RODAS,CORREGIMIENTO VILLA RODAS,ASOCIACION DE USUARIOS DEL ACUEDUCTO Y ALCANTARILLADO VILLA RODAS #1,ASOCIACION DE USUARIOS DEL ACUEDUCTO Y ALCANTARILLADO VILLA RODAS #1,ASOCIACION DE USUARIOS DEL ACUEDUCTO Y ALCANTARILLADO DE VILLA RODAS # 1,1,Aro Norte Cartago,ARO NORTE CARTAGO,SAIR HAIRTON IBARGUEN RENTERIA,1/04/2026,2026-04-01,2026-04-16,2026-04-16,SHIR01042026,98,ABIERTO,,1.3,Visita para la elaboración de mapa de riesgo de la calidad de agua para consumo humano para adopción por la SDS (incluye la ficha de inspeccion sanitaria y anexo tecnico),Visita Mapas de Riesgo Ficah y Anexo Tecnico 1,NO,,,,,SIN DATO
1.3_VisitasMPR.csv,1.3,2064,,2064,RESTREPO,RESTREPO,LA ESPERANZA,LA ESPERANZA,ACUEDUCTO ALTO DEL OSO - LA ESPERANZA,ACUEDUCTO ALTO DEL OSO - LA ESPERANZA,ACUEDUCTO ALTO DEL OSO - LA ESPERANZA,2,Aro Centro Tuluà,ARO CENTRO TULUA,VALERIA PATIÑO HERNANDEZ,16/04/2026,2026-04-16,2026-04-22,2026-04-22,VP-16042026,109,ABIERTO,,1.3,Visita para la elaboración de mapa de riesgo de la calidad de agua para consumo humano para adopción por la SDS (incluye la ficha de inspeccion sanitaria y anexo tecnico),Visita Mapas de Riesgo Ficah y Anexo Tecnico 1,NO,,,,,SIN DATO
1.3_VisitasMPR.csv,1.3,2147,,2147,ANSERMANUEVO,ANSERMANUEVO,LA CABAÑA,LA CABANA,ACUEDUCTO LA CABAÑA,ACUEDUCTO LA CABANA,ASOCIACION GESTORA COMUNITARIA DEL AGUA DEL CORREGIMIENTO LA CABAÑA,1,Aro Norte Cartago,ARO NORTE CARTAGO,SAIR HAIRTON IBARGUEN RENTERIA,4/04/2026,2026-04-04,2026-04-16,2026-04-16,SHIR04042026,95,ABIERTO,,1.3,Visita para la elaboración de mapa de riesgo de la calidad de agua para consumo humano para adopción por la SDS (incluye la ficha de inspeccion sanitaria y anexo tecnico),Visita Mapas de Riesgo Ficah y Anexo Tecnico 1,NO,,,,,SIN DATO
1.3_VisitasMPR.csv,1.3,2150,,2150,CAICEDONIA,CAICEDONIA,EL SALADO,EL SALADO,ASOCIACION DE USUARIOS DEL ACUEDUCTO RURAL PALOGRANDE EL SALADO,ASOCIACION DE USUARIOS DEL ACUEDUCTO RURAL PALOGRANDE EL SALADO,ASOCIACION DE USUARIOS DEL ACUEDUCTO RURAL PALOGRANDE EL SALADO,2,Aro Centro Tuluà,ARO CENTRO TULUA,WILLIAM ALBERTO CARLOSAMA JIMENEZ,15/04/2026,2026-04-15,2026-05-19,2026-05-19,WAC15042026,135,ABIERTO,,1.3,Visita para la elaboración de mapa de riesgo de la calidad de agua para consumo humano para adopción por la SDS (incluye la ficha de inspeccion sanitaria y anexo tecnico),Visita Mapas de Riesgo Ficah y Anexo Tecnico 1,NO,,,,,SIN DATO
1.3_VisitasMPR.csv,1.3,21651,,21651,LA CUMBRE,LA CUMBRE,VEREDAS SAN JOSE Y AGUA CLARA,VEREDAS SAN JOSE Y AGUA CLARA,VERSA,VERSA,"ACUEDUCTO VERSA - ASOCIACION DE USUARIO DEL SERVICIO DEL ACUEDUCTO V.E.R.S.A. DE LAS VEREDAS,SAN JOSE Y AGUA CLARA MUNICIPIO DE YUMBO LA CUMBRE",3,Aro Sur Cali,ARO SUR CALI,MAURICIO ALZATE DIAZ,22/04/2026,2026-04-22,2026-04-28,2026-04-28,MPCUMBRE01,113,ABIERTO,,1.3,Visita para la elaboración de mapa de riesgo de la calidad de agua para consumo humano para adopción por la SDS (incluye la ficha de inspeccion sanitaria y anexo tecnico),Visita Mapas de Riesgo Ficah y Anexo Tecnico 1,NO,,,,,SIN DATO
1.3_VisitasMPR.csv,1.3,2170,,2170,BOLÍVAR,BOLIVAR,LA HERRADURA,LA HERRADURA,ASOCIACION DE USUARIOS DEL ACUEDUCTO LA HERRADURA,ASOCIACION DE USUARIOS DEL ACUEDUCTO LA HERRADURA,ASOCIACION DE USUARIOS DEL ACUEDUCTO LA HERRADURA  ASOAHER,2,Aro Centro Tuluà,ARO CENTRO TULUA,DIANA GIMENA MARTINEZ GONZALEZ,2/04/2026,2026-04-02,2026-04-22,2026-04-22,DM020426,103,ABIERTO,,1.3,Visita para la elaboración de mapa de riesgo de la calidad de agua para consumo humano para adopción por la SDS (incluye la ficha de inspeccion sanitaria y anexo tecnico),Visita Mapas de Riesgo Ficah y Anexo Tecnico 1,NO,,,,,SIN DATO
1.3_VisitasMPR.csv,1.3,2191,,2191,TORO,TORO,VEREDA LA QUIEBRA,VEREDA LA QUIEBRA,ACUEDUCTO RURAL LA QUIEBRA,ACUEDUCTO RURAL LA QUIEBRA,ACUEDUCTO RURAL VEREDA LA QUIEBRA,1,Aro Norte Cartago,ARO NORTE CARTAGO,SAIR HAIRTON IBARGUEN RENTERIA,9/04/2026,2026-04-09,2026-04-16,2026-04-16,SHIR09042026,97,ABIERTO,,1.3,Visita para la elaboración de mapa de riesgo de la calidad de agua para consumo humano para adopción por la SDS (incluye la ficha de inspeccion sanitaria y anexo tecnico),Visita Mapas de Riesgo Ficah y Anexo Tecnico 1,NO,,,,,SIN DATO
1.3_VisitasMPR.csv,1.3,23445,,23445,EL DOVIO,EL DOVIO,VEREDA DIAMANTE,VEREDA DIAMANTE,VEREDA DIAMANTE ALTO,VEREDA DIAMANTE ALTO,ASOCIACION DE USUARIOS DEL ACUEDUCTO RURAL COMUNIDAD DE LA VEREDA DIAMANTE ALTO,1,Aro Norte Cartago,ARO NORTE CARTAGO,ANA MILENA MENDEZ ARANA,23/04/2026,2026-04-23,2026-04-29,2026-04-29,AMM23426,125,ABIERTO,,1.3,Visita para la elaboración de mapa de riesgo de la calidad de agua para consumo humano para adopción por la SDS (incluye la ficha de inspeccion sanitaria y anexo tecnico),Visita Mapas de Riesgo Ficah y Anexo Tecnico 1,NO,,,,,SIN DATO
1.3_VisitasMPR.csv,1.3,25266,,25266,EL CERRITO,EL CERRITO,,,,,PARCELACIÓN VENECIA ETAPAS 1-2-3 Y 4,3,Aro Sur Cali,ARO SUR CALI,LAURA SOFIA LOPEZ CUNDUMI,19/03/2026,2026-03-19,2026-03-31,2026-03-31,MPRVENE,88,ABIERTO,,1.3,Visita para la elaboración de mapa de riesgo de la calidad de agua para consumo humano para adopción por la SDS (incluye la ficha de inspeccion sanitaria y anexo tecnico),Visita Mapas de Riesgo Ficah y Anexo Tecnico 1,NO,,,,,SIN DATO
