Código,Actividad,Actividad_Resumen
1.1,Visita de inspección y vigilancia sanitaria al sistema de abasto público de Agua para el consumo humano Urbano. Incluye visita a bocatoma y concertación y/o actualización y/o materialización de puntos de muestreo e inscripcion sanitaria. ,Visita Acueductos Urbanos
1.2,"Visita de inspección y vigilancia sanitaria al sistema de abastecimiento de Agua para el consumo humano Rural. Incluye inscripcion sanitaria, concertación y/o actualización y/o materialización de puntos de muestreo. Incluye seguimiento a los planes de accion  solicitados y priorizados por la SDS y mejoramiento producto de la adopcion y notificacion del mapa de riesgo, e identificacion de viviendas con dispositivos intradominiciliarios por parte del Prestador del servicio.",Visita Acueductos Rural
1.3,Visita para la elaboración de mapa de riesgo de la calidad de agua para consumo humano para adopción por la SDS (incluye la ficha de inspeccion sanitaria y anexo tecnico),Visita Mapas de Riesgo Ficah y Anexo Tecnico 1
1.4,Visita para la toma de muestra de agua para elaboración de mapa de riesgo de la calidad del agua,Toma de muestra elaboracion mapas de riesgo
1.5,Elaboración de anexo tecnico 2 y proyecto de resolucion para la adopción del mapa de riesgo de la calidad del agua para la SDS,Elaboración de anexo tecnico 2
1.6,Muestreo de agua en sistemas de abastecimiento urbanos,Muestreo Acueducto Urbano
1.7,"Muestreos de agua en sistemas de abastecimiento rurales, carrotanques y dispositivos intradomiciliarios",Muestreo Acueducto Rural
1.8,"Elaborar el informe técnico para las administraciones municipales, COVE, Empresas de Servicios Publicos, de la calidad del agua con los resultados de laboratorio obtenidos en los muestreos de los sistemas de abastecimiento de agua (Urbano-Rural) ",Elaborar Informe 
1.9,"Notificar a las administraciones municipales, COVE y Empresas prestadoras de servicios publicos, el informe con los resultados de laboratorio obtenidos en los muestreos de los sistemas de abastecimiento de agua de acueductos urbanos y rurales, y resolucion de mapas de riesgo, acorde con los formatos establecidos por Calidad según el nivel de riesgo.",Notificar
1.1,"Realizar visitas de educación sanitaria, promoviendo actitudes correctas y buenas prácticas en el uso y manejo del agua para consumo humano (Entornos hogar, educativo, laboral y comunitario)",Educación sanitaria
1.13,"Acompańamiento técnico y fortalecimiento comunitario para el mejoramiento de la calidad del agua de consumo humano en acueductos rurales priorizados, incluye capacitación en uso, operación y mantenimiento de soluciones alternativas para el aprovisionamiento de agua para consumo humano y doméstico; asistencias tecnicas a municipios 1, 2, 3 y Distritos",Acompańamiento técnico acueductos rurales 
1.14,"Cargue de informaciňn al Sistema de Vigilancia para la Calidad del Agua para consumo - SIVICAP y SISA (Visitas de Inspección, inscripcion, concertación, actualización y materialización de puntos de muestreo, resultados de Analisis de Laboratorio, mapas de riesgo y apoyo  en la elaboracion del informe de notificacion). Administracion de SIVICAP y elaboracion de proyectos de la certificacion sanitaria municipal y por persona prestadora (Sede Principal)",Cargue de informaciňn al Sistema de Vigilancia para la Calidad del Agua para consumo - SIVICAP y SIS
1.16,"Realizar las Certificaciones municipales de la Calidad del Agua Urbana, en el 100% de los municipios de categoría 4, 5 y 6 y los Conceptos Sanitarios a los prestadores de acueducto que lo soliciten. ",Realizar las Certificaciones municipales
1.17,"Visita de asistencia tecnica a viviendas y establecimientos educativos, orientada al funcionamiento de dispositivos intradomiciliarios para el tratamiento de agua para consumo humano - filtros",Visita de asistencia tecnica a viviendas y establecimientos educativos
2.2,"Visita de inspección sanitaria a sitios de disposición final de los residuos sólidos  ordinarios de la zona urbana y rural, y elaboración de informe cuando se requiera a la Entidad o instancia correspondiente",sitios de disposición final de los residuos sólidos
2.3,"Visita integral de inspección sanitaria a empresas sociales del estado-ESE (incluye la visita de residuos de atención en salud, tanques de abasto de agua, alimentos, espacios libres de humo de tabaco, higienico locativo- ETV, MCE, radiaciones ionizantes, verificacion del uso de amalgamas y disposicion adecuada de las mismas)",Visita integral de inspección sanitaria a empresas sociales del estado-ESE
2.5,"Visita de inspeccion sanitaria al sistema de alcantarillado Urbano, incluyendo las Plantas de Tratamiento de Aguas Residuales y los puntos de descarga final. Incluye la elaboración del informe a la Entidad o instancia correspondiente",Visita de inspeccion sanitaria al sistema de alcantarillado Urbano
2.1,"Realizar educación en salud, en el marco  del aseguramiento de cadenas productivas, buscando promover actitudes correctas y buenas practicas, en entorno institucional en las ESE en los 33 municipios ","Realizar educación en salud, en el marco  del aseguramiento de cadenas productivas,"
