PERIODO_NORMALIZADO,PERIODO_ORDEN,ACTIVIDADES,CODIGO,CODIGO_ACTIVIDAD,ARO,TIPO,ANIO,REGISTROS,RESPONSABLES,CODIGOS_DISTINTOS,PROGRAMADO,EJECUTADO_RASEM,PENDIENTE_CALCULADO,PENDIENTE_VISUAL,EXCEDENTE,CUMPLIMIENTO_CALCULADO,CUMPLIMIENTO_VISUAL,ESTADO_CUMPLIMIENTO
Enero - Junio,2,Operativo,2.3,2.3,TULUA,CONTRATISTA,2026,8,3,1,8.0,8.0,0.0,0.0,0.0,1.0,1.0,Cumplido
Enero - Junio,2,Operativo,2.3,2.3,TULUA,PLANTA,2026,1,1,1,1.0,1.0,0.0,0.0,0.0,1.0,1.0,Cumplido
Enero - Junio,2,Operativo,5.2,5.2,CARTAGO,CONTRATISTA,2026,2,1,1,2.0,2.0,0.0,0.0,0.0,1.0,1.0,Cumplido
Enero - Junio,2,Operativo,5.2,5.2,CARTAGO,PLANTA,2026,4,1,1,7.0,4.0,3.0,3.0,0.0,0.5714285714285714,0.5714285714285714,Bajo
Enero - Junio,2,Operativo,5.24,5.24,CARTAGO,PLANTA,2026,4,1,1,10.0,6.0,4.0,4.0,0.0,0.6,0.6,Bajo
Enero - Junio,2,Operativo,5.34,5.34,CARTAGO,CONTRATISTA,2026,2,1,1,2.0,2.0,0.0,0.0,0.0,1.0,1.0,Cumplido
Enero - Junio,2,Operativo,5.4,5.4,CARTAGO,PLANTA,2026,4,1,1,20.0,19.0,1.0,2.0,1.0,0.95,0.95,Cumplido
Enero - Marzo,1,Actividades Administrativas,12.1,12.1,CALI,CONTRATISTA,2026,8,4,1,66.0,19.0,47.0,47.0,0.0,0.2878787878787879,0.2878787878787879,Crítico
Enero - Marzo,1,Actividades Administrativas,12.1,12.1,CALI,PLANTA,2026,2,1,1,18.0,4.0,14.0,14.0,0.0,0.2222222222222222,0.2222222222222222,Crítico
Enero - Marzo,1,Actividades Administrativas,12.1,12.1,CARTAGO,CONTRATISTA,2026,4,2,1,30.0,31.0,-1.0,0.0,1.0,1.0333333333333334,1.0,Supera meta
Enero - Marzo,1,Actividades Administrativas,12.1,12.1,CARTAGO,PLANTA,2026,4,2,1,36.0,35.0,1.0,18.0,17.0,0.9722222222222222,0.9722222222222222,Cumplido
Enero - Marzo,1,Actividades Administrativas,12.1,12.1,TULUA,CONTRATISTA,2026,6,3,1,44.0,44.0,0.0,0.0,0.0,1.0,1.0,Cumplido
Enero - Marzo,1,Actividades Administrativas,12.1,12.1,TULUA,PLANTA,2026,2,1,1,30.0,26.0,4.0,24.0,20.0,0.8666666666666667,0.8666666666666667,Cumplido
Enero - Marzo,1,Actividades Administrativas,12.3,12.3,CALI,CONTRATISTA,2026,4,4,1,52.0,19.0,33.0,33.0,0.0,0.36538461538461536,0.36538461538461536,Bajo
Enero - Marzo,1,Actividades Administrativas,12.3,12.3,CALI,PLANTA,2026,1,1,1,23.0,8.0,15.0,15.0,0.0,0.34782608695652173,0.34782608695652173,Bajo
Enero - Marzo,1,Actividades Administrativas,12.3,12.3,CARTAGO,CONTRATISTA,2026,2,2,1,20.0,22.0,-2.0,0.0,2.0,1.1,1.0,Supera meta
Enero - Marzo,1,Actividades Administrativas,12.3,12.3,CARTAGO,PLANTA,2026,2,2,1,46.0,8.0,38.0,38.0,0.0,0.17391304347826086,0.17391304347826086,Crítico
Enero - Marzo,1,Actividades Administrativas,12.3,12.3,TULUA,CONTRATISTA,2026,3,3,1,30.0,31.0,-1.0,0.0,1.0,1.0333333333333334,1.0,Supera meta
Enero - Marzo,1,Actividades Administrativas,12.3,12.3,TULUA,PLANTA,2026,1,1,1,26.0,11.0,15.0,15.0,0.0,0.4230769230769231,0.4230769230769231,Bajo
Enero - Marzo,1,Actividades Administrativas,12.4,12.4,CALI,CONTRATISTA,2026,4,4,1,15.0,2.0,13.0,13.0,0.0,0.13333333333333333,0.13333333333333333,Crítico
Enero - Marzo,1,Actividades Administrativas,12.4,12.4,CALI,PLANTA,2026,1,1,1,6.0,4.0,2.0,2.0,0.0,0.6666666666666666,0.6666666666666666,Medio
Enero - Marzo,1,Actividades Administrativas,12.4,12.4,CARTAGO,CONTRATISTA,2026,2,2,1,6.0,6.0,0.0,0.0,0.0,1.0,1.0,Cumplido
Enero - Marzo,1,Actividades Administrativas,12.4,12.4,CARTAGO,PLANTA,2026,2,2,1,12.0,15.0,-3.0,6.0,9.0,1.25,1.0,Supera meta
Enero - Marzo,1,Actividades Administrativas,12.4,12.4,TULUA,CONTRATISTA,2026,3,3,1,9.0,11.0,-2.0,0.0,2.0,1.2222222222222223,1.0,Supera meta
Enero - Marzo,1,Actividades Administrativas,12.4,12.4,TULUA,PLANTA,2026,1,1,1,6.0,4.0,2.0,2.0,0.0,0.6666666666666666,0.6666666666666666,Medio
Enero - Marzo,1,Actividades Administrativas,12.5,12.5,CALI,CONTRATISTA,2026,4,4,1,15.0,2.0,13.0,13.0,0.0,0.13333333333333333,0.13333333333333333,Crítico
Enero - Marzo,1,Actividades Administrativas,12.5,12.5,CALI,PLANTA,2026,1,1,1,6.0,4.0,2.0,2.0,0.0,0.6666666666666666,0.6666666666666666,Medio
Enero - Marzo,1,Actividades Administrativas,12.5,12.5,CARTAGO,CONTRATISTA,2026,2,2,1,6.0,6.0,0.0,0.0,0.0,1.0,1.0,Cumplido
Enero - Marzo,1,Actividades Administrativas,12.5,12.5,CARTAGO,PLANTA,2026,2,2,1,12.0,1.0,11.0,11.0,0.0,0.08333333333333333,0.08333333333333333,Crítico
Enero - Marzo,1,Actividades Administrativas,12.5,12.5,TULUA,CONTRATISTA,2026,3,3,1,9.0,9.0,0.0,0.0,0.0,1.0,1.0,Cumplido
Enero - Marzo,1,Actividades Administrativas,12.5,12.5,TULUA,PLANTA,2026,1,1,1,6.0,2.0,4.0,4.0,0.0,0.3333333333333333,0.3333333333333333,Bajo
Enero - Marzo,1,Actividades Administrativas,12.6,12.6,CALI,CONTRATISTA,2026,4,4,1,8.0,2.0,6.0,6.0,0.0,0.25,0.25,Crítico
Enero - Marzo,1,Actividades Administrativas,12.6,12.6,CALI,PLANTA,2026,1,1,1,1.0,1.0,0.0,0.0,0.0,1.0,1.0,Cumplido
Enero - Marzo,1,Actividades Administrativas,12.6,12.6,CARTAGO,CONTRATISTA,2026,2,2,1,4.0,4.0,0.0,0.0,0.0,1.0,1.0,Cumplido
Enero - Marzo,1,Actividades Administrativas,12.6,12.6,CARTAGO,PLANTA,2026,2,2,1,2.0,3.0,-1.0,1.0,2.0,1.5,1.0,Supera meta
Enero - Marzo,1,Actividades Administrativas,12.6,12.6,TULUA,CONTRATISTA,2026,3,3,1,6.0,6.0,0.0,0.0,0.0,1.0,1.0,Cumplido
Enero - Marzo,1,Actividades Administrativas,12.6,12.6,TULUA,PLANTA,2026,1,1,1,1.0,9.0,-8.0,0.0,8.0,9.0,1.0,Supera meta
Enero - Marzo,1,Actividades Administrativas,12.7,12.7,CALI,PLANTA,2026,1,1,1,1.0,1.0,0.0,0.0,0.0,1.0,1.0,Cumplido
Enero - Marzo,1,Actividades Administrativas,12.7,12.7,CARTAGO,PLANTA,2026,2,2,1,2.0,1.0,1.0,1.0,0.0,0.5,0.5,Bajo
Enero - Marzo,1,Actividades Administrativas,12.7,12.7,TULUA,PLANTA,2026,1,1,1,1.0,0.0,1.0,1.0,0.0,0.0,0.0,Crítico
Enero - Marzo,1,Actividades Administrativas,12.8,12.8,CALI,PLANTA,2026,1,1,1,1.0,1.0,0.0,0.0,0.0,1.0,1.0,Cumplido
Enero - Marzo,1,Actividades Administrativas,12.8,12.8,CARTAGO,PLANTA,2026,2,2,1,2.0,0.0,2.0,2.0,0.0,0.0,0.0,Crítico
Enero - Marzo,1,Actividades Administrativas,12.8,12.8,TULUA,PLANTA,2026,1,1,1,1.0,0.0,1.0,1.0,0.0,0.0,0.0,Crítico
Enero - Marzo,1,OTROS,1.11,1.11,CARTAGO,PLANTA,2026,1,1,1,0.0,0.0,0.0,0.0,0.0,,,Sin dato
Enero - Marzo,1,OTROS,2.5,2.5,CARTAGO,PLANTA,2026,4,1,1,4.0,0.0,4.0,4.0,0.0,0.0,0.0,Crítico
Enero - Marzo,1,OTROS,2.5,2.5,TULUA,PLANTA,2026,1,1,1,1.0,0.0,1.0,1.0,0.0,0.0,0.0,Crítico
Enero - Marzo,1,OTROS,AP,AP,TULUA,PLANTA,2026,1,1,1,15.0,7.0,8.0,8.0,0.0,0.4666666666666667,0.4666666666666667,Bajo
Enero - Marzo,1,OTROS,CONTIENGENCIA,CONTIENGENCIA,CARTAGO,PLANTA,2026,1,1,1,325.0,0.0,325.0,325.0,0.0,0.0,0.0,Crítico
Enero - Marzo,1,OTROS,ENTORNOS,ENTORNOS,CALI,CONTRATISTA,2026,4,4,1,12.0,0.0,12.0,12.0,0.0,0.0,0.0,Crítico
Enero - Marzo,1,OTROS,ENTORNOS,ENTORNOS,CARTAGO,CONTRATISTA,2026,2,2,1,6.0,4.0,2.0,2.0,0.0,0.6666666666666666,0.6666666666666666,Medio
Enero - Marzo,1,OTROS,ENTORNOS,ENTORNOS,TULUA,CONTRATISTA,2026,3,3,1,9.0,2.0,7.0,7.0,0.0,0.2222222222222222,0.2222222222222222,Crítico
Enero - Marzo,1,OTROS,FILTROS,FILTROS,CALI,CONTRATISTA,2026,4,4,1,8.0,0.0,8.0,8.0,0.0,0.0,0.0,Crítico
Enero - Marzo,1,OTROS,FILTROS,FILTROS,CALI,PLANTA,2026,1,1,1,0.0,0.0,0.0,0.0,0.0,,,Sin dato
Enero - Marzo,1,OTROS,FILTROS,FILTROS,CARTAGO,CONTRATISTA,2026,2,2,1,4.0,0.0,4.0,4.0,0.0,0.0,0.0,Crítico
Enero - Marzo,1,OTROS,FILTROS,FILTROS,CARTAGO,PLANTA,2026,1,1,1,8.0,0.0,8.0,8.0,0.0,0.0,0.0,Crítico
Enero - Marzo,1,OTROS,FILTROS,FILTROS,TULUA,CONTRATISTA,2026,3,3,1,6.0,4.0,2.0,3.0,1.0,0.6666666666666666,0.6666666666666666,Medio
Enero - Marzo,1,OTROS,MEDIDASSANITARIAS,MEDIDASSANITARIAS,CALI,PLANTA,2026,1,1,1,0.0,0.0,0.0,0.0,0.0,,,Sin dato
Enero - Marzo,1,OTROS,MEDIDASSANITARIAS,MEDIDASSANITARIAS,CARTAGO,PLANTA,2026,2,2,1,4.0,0.0,4.0,4.0,0.0,0.0,0.0,Crítico
Enero - Marzo,1,OTROS,MEDIDASSANITARIAS,MEDIDASSANITARIAS,TULUA,PLANTA,2026,1,1,1,2.0,0.0,2.0,2.0,0.0,0.0,0.0,Crítico
Enero - Marzo,1,OTROS,MESASTECNICAS,MESASTECNICAS,CALI,CONTRATISTA,2026,4,4,1,16.0,0.0,16.0,16.0,0.0,0.0,0.0,Crítico
Enero - Marzo,1,OTROS,MESASTECNICAS,MESASTECNICAS,CARTAGO,CONTRATISTA,2026,2,2,1,5.0,1.0,4.0,4.0,0.0,0.2,0.2,Crítico
Enero - Marzo,1,OTROS,MESASTECNICAS,MESASTECNICAS,TULUA,CONTRATISTA,2026,3,3,1,12.0,2.0,10.0,10.0,0.0,0.16666666666666666,0.16666666666666666,Crítico
Enero - Marzo,1,OTROS,MESASTECNICAS,MESASTECNICAS,TULUA,PLANTA,2026,1,1,1,12.0,0.0,12.0,12.0,0.0,0.0,0.0,Crítico
Enero - Marzo,1,OTROS,MST,MST,CALI,PLANTA,2026,1,1,1,0.0,0.0,0.0,0.0,0.0,,,Sin dato
Enero - Marzo,1,OTROS,MST,MST,CARTAGO,PLANTA,2026,2,2,1,8.0,4.0,4.0,4.0,0.0,0.5,0.5,Bajo
Enero - Marzo,1,OTROS,PQRS,PQRS,CALI,CONTRATISTA,2026,4,4,1,16.0,2.0,14.0,14.0,0.0,0.125,0.125,Crítico
Enero - Marzo,1,OTROS,PQRS,PQRS,CALI,PLANTA,2026,2,1,1,11.0,0.0,11.0,11.0,0.0,0.0,0.0,Crítico
Enero - Marzo,1,OTROS,PQRS,PQRS,CARTAGO,CONTRATISTA,2026,2,2,1,8.0,33.0,-25.0,0.0,25.0,4.125,1.0,Supera meta
Enero - Marzo,1,OTROS,PQRS,PQRS,CARTAGO,PLANTA,2026,2,2,1,20.0,5.0,15.0,15.0,0.0,0.25,0.25,Crítico
Enero - Marzo,1,OTROS,PQRS,PQRS,TULUA,CONTRATISTA,2026,3,3,1,12.0,7.0,5.0,5.0,0.0,0.5833333333333334,0.5833333333333334,Bajo
Enero - Marzo,1,OTROS,PQRS,PQRS,TULUA,PLANTA,2026,1,1,1,13.0,11.0,2.0,2.0,0.0,0.8461538461538461,0.8461538461538461,Cumplido
Enero - Marzo,1,OTROS,RT,RT,TULUA,PLANTA,2026,1,1,1,12.0,2.0,10.0,10.0,0.0,0.16666666666666666,0.16666666666666666,Crítico
Enero - Marzo,1,OTROS,RUTAMUESTRASAGUACONSUMOHUMANO,RUTAMUESTRASAGUACONSUMOHUMANO,CALI,PLANTA,2026,1,1,1,11.0,0.0,11.0,11.0,0.0,0.0,0.0,Crítico
Enero - Marzo,1,OTROS,RUTAMUESTRASAGUACONSUMOHUMANO,RUTAMUESTRASAGUACONSUMOHUMANO,CARTAGO,PLANTA,2026,1,1,1,10.0,3.0,7.0,7.0,0.0,0.3,0.3,Crítico
Enero - Marzo,1,OTROS,SUPERVISIÓNMUESTRAS,SUPERVISIÓNMUESTRAS,CARTAGO,PLANTA,2026,1,1,1,48.0,2.0,46.0,46.0,0.0,0.041666666666666664,0.041666666666666664,Crítico
Enero - Marzo,1,OTROS,TRAMITES,TRAMITES,CARTAGO,PLANTA,2026,1,1,1,10.0,0.0,10.0,10.0,0.0,0.0,0.0,Crítico
Enero - Marzo,1,OTROS,VALIDACIÓNYAPROBACIONAPP,VALIDACIÓNYAPROBACIONAPP,TULUA,PLANTA,2026,1,1,1,26.0,1.0,25.0,25.0,0.0,0.038461538461538464,0.038461538461538464,Crítico
Enero - Marzo,1,Operativo,1.1,1.1,CALI,CONTRATISTA,2026,6,3,1,6.0,6.0,0.0,0.0,0.0,1.0,1.0,Cumplido
Enero - Marzo,1,Operativo,1.1,1.1,CALI,PLANTA,2026,1,1,1,2.0,2.0,0.0,0.0,0.0,1.0,1.0,Cumplido
Enero - Marzo,1,Operativo,1.1,1.1,CARTAGO,PLANTA,2026,2,2,1,12.0,6.0,6.0,7.0,1.0,0.5,0.5,Bajo
Enero - Marzo,1,Operativo,1.1,1.1,TULUA,CONTRATISTA,2026,11,3,1,11.0,11.0,0.0,0.0,0.0,1.0,1.0,Cumplido
Enero - Marzo,1,Operativo,1.1,1.1,TULUA,PLANTA,2026,1,1,1,2.0,1.0,1.0,1.0,0.0,0.5,0.5,Bajo
Enero - Marzo,1,Operativo,1.10,1.10,CALI,CONTRATISTA,2026,7,4,1,112.0,60.0,52.0,52.0,0.0,0.5357142857142857,0.5357142857142857,Bajo
Enero - Marzo,1,Operativo,1.10,1.10,CALI,PLANTA,2026,3,1,1,11.0,5.0,6.0,8.0,2.0,0.45454545454545453,0.45454545454545453,Bajo
Enero - Marzo,1,Operativo,1.10,1.10,CARTAGO,CONTRATISTA,2026,12,2,1,58.0,58.0,0.0,0.0,0.0,1.0,1.0,Cumplido
Enero - Marzo,1,Operativo,1.10,1.10,CARTAGO,PLANTA,2026,8,1,1,22.0,9.0,13.0,13.0,0.0,0.4090909090909091,0.4090909090909091,Bajo
Enero - Marzo,1,Operativo,1.10,1.10,TULUA,CONTRATISTA,2026,11,3,1,117.0,107.0,10.0,11.0,1.0,0.9145299145299145,0.9145299145299145,Cumplido
Enero - Marzo,1,Operativo,1.10,1.10,TULUA,PLANTA,2026,1,1,1,15.0,9.0,6.0,6.0,0.0,0.6,0.6,Bajo
Enero - Marzo,1,Operativo,1.13,1.13,CALI,CONTRATISTA,2026,7,4,1,106.0,55.0,51.0,51.0,0.0,0.5188679245283019,0.5188679245283019,Bajo
Enero - Marzo,1,Operativo,1.13,1.13,CALI,PLANTA,2026,4,1,1,11.0,6.0,5.0,9.0,4.0,0.5454545454545454,0.5454545454545454,Bajo
Enero - Marzo,1,Operativo,1.13,1.13,CARTAGO,CONTRATISTA,2026,12,2,1,58.0,58.0,0.0,0.0,0.0,1.0,1.0,Cumplido
Enero - Marzo,1,Operativo,1.13,1.13,CARTAGO,PLANTA,2026,8,1,1,22.0,8.0,14.0,14.0,0.0,0.36363636363636365,0.36363636363636365,Bajo
Enero - Marzo,1,Operativo,1.13,1.13,TULUA,CONTRATISTA,2026,10,3,1,106.0,100.0,6.0,7.0,1.0,0.9433962264150944,0.9433962264150944,Cumplido
Enero - Marzo,1,Operativo,1.13,1.13,TULUA,PLANTA,2026,1,1,1,15.0,11.0,4.0,4.0,0.0,0.7333333333333333,0.7333333333333333,Medio
Enero - Marzo,1,Operativo,1.17,1.17,CALI,PLANTA,2026,1,1,1,8.0,0.0,8.0,8.0,0.0,0.0,0.0,Crítico
Enero - Marzo,1,Operativo,1.17,1.17,CARTAGO,PLANTA,2026,2,2,1,16.0,0.0,16.0,16.0,0.0,0.0,0.0,Crítico
Enero - Marzo,1,Operativo,1.17,1.17,TULUA,PLANTA,2026,1,1,1,18.0,3.0,15.0,15.0,0.0,0.16666666666666666,0.16666666666666666,Crítico
Enero - Marzo,1,Operativo,1.2,1.2,CALI,CONTRATISTA,2026,7,4,1,106.0,53.0,53.0,53.0,0.0,0.5,0.5,Bajo
Enero - Marzo,1,Operativo,1.2,1.2,CALI,PLANTA,2026,3,1,1,11.0,3.0,8.0,10.0,2.0,0.2727272727272727,0.2727272727272727,Crítico
Enero - Marzo,1,Operativo,1.2,1.2,CARTAGO,CONTRATISTA,2026,12,2,1,58.0,58.0,0.0,0.0,0.0,1.0,1.0,Cumplido
Enero - Marzo,1,Operativo,1.2,1.2,CARTAGO,PLANTA,2026,8,1,1,22.0,8.0,14.0,14.0,0.0,0.36363636363636365,0.36363636363636365,Bajo
Enero - Marzo,1,Operativo,1.2,1.2,TULUA,CONTRATISTA,2026,10,3,1,106.0,101.0,5.0,7.0,2.0,0.9528301886792453,0.9528301886792453,Cumplido
Enero - Marzo,1,Operativo,1.2,1.2,TULUA,PLANTA,2026,1,1,1,15.0,11.0,4.0,4.0,0.0,0.7333333333333333,0.7333333333333333,Medio
Enero - Marzo,1,Operativo,1.3,1.3,CALI,CONTRATISTA,2026,4,4,1,24.0,4.0,20.0,20.0,0.0,0.16666666666666666,0.16666666666666666,Crítico
Enero - Marzo,1,Operativo,1.3,1.3,CARTAGO,CONTRATISTA,2026,2,2,1,0.0,0.0,0.0,0.0,0.0,,,Sin dato
Enero - Marzo,1,Operativo,1.3,1.3,CARTAGO,PLANTA,2026,1,1,1,6.0,1.0,5.0,5.0,0.0,0.16666666666666666,0.16666666666666666,Crítico
Enero - Marzo,1,Operativo,1.3,1.3,TULUA,CONTRATISTA,2026,3,3,1,18.0,0.0,18.0,18.0,0.0,0.0,0.0,Crítico
Enero - Marzo,1,Operativo,1.4,1.4,CALI,CONTRATISTA,2026,4,4,1,24.0,0.0,24.0,24.0,0.0,0.0,0.0,Crítico
Enero - Marzo,1,Operativo,1.4,1.4,CARTAGO,CONTRATISTA,2026,2,2,1,0.0,0.0,0.0,0.0,0.0,,,Sin dato
Enero - Marzo,1,Operativo,1.4,1.4,CARTAGO,PLANTA,2026,1,1,1,6.0,0.0,6.0,6.0,0.0,0.0,0.0,Crítico
Enero - Marzo,1,Operativo,1.4,1.4,TULUA,CONTRATISTA,2026,3,3,1,18.0,0.0,18.0,18.0,0.0,0.0,0.0,Crítico
Enero - Marzo,1,Operativo,1.5,1.5,CALI,CONTRATISTA,2026,4,4,1,24.0,1.0,23.0,23.0,0.0,0.041666666666666664,0.041666666666666664,Crítico
Enero - Marzo,1,Operativo,1.5,1.5,CARTAGO,CONTRATISTA,2026,2,2,1,0.0,0.0,0.0,0.0,0.0,,,Sin dato
Enero - Marzo,1,Operativo,1.5,1.5,CARTAGO,PLANTA,2026,1,1,1,6.0,0.0,6.0,6.0,0.0,0.0,0.0,Crítico
Enero - Marzo,1,Operativo,1.5,1.5,TULUA,CONTRATISTA,2026,3,3,1,18.0,1.0,17.0,17.0,0.0,0.05555555555555555,0.05555555555555555,Crítico
Enero - Marzo,1,Operativo,1.7,1.7,CARTAGO,PLANTA,2026,1,1,1,0.0,0.0,0.0,0.0,0.0,,,Sin dato
Enero - Marzo,1,Operativo,1.8,1.8,CALI,PLANTA,2026,1,1,1,11.0,0.0,11.0,11.0,0.0,0.0,0.0,Crítico
Enero - Marzo,1,Operativo,1.8,1.8,CARTAGO,PLANTA,2026,1,1,1,10.0,13.0,-3.0,0.0,3.0,1.3,1.0,Supera meta
Enero - Marzo,1,Operativo,1.8,1.8,TULUA,PLANTA,2026,1,1,1,24.0,5.0,19.0,19.0,0.0,0.20833333333333334,0.20833333333333334,Crítico
Enero - Marzo,1,Operativo,2.1,2.1,CALI,CONTRATISTA,2026,1,1,1,0.0,0.0,0.0,0.0,0.0,,,Sin dato
Enero - Marzo,1,Operativo,2.1,2.1,CARTAGO,PLANTA,2026,2,1,1,2.0,0.0,2.0,2.0,0.0,0.0,0.0,Crítico
Enero - Marzo,1,Operativo,2.10,2.10,CALI,CONTRATISTA,2026,3,3,1,3.0,0.0,3.0,3.0,0.0,0.0,0.0,Crítico
Enero - Marzo,1,Operativo,2.10,2.10,CALI,PLANTA,2026,2,1,1,2.0,0.0,2.0,2.0,0.0,0.0,0.0,Crítico
Enero - Marzo,1,Operativo,2.10,2.10,CARTAGO,CONTRATISTA,2026,5,1,1,5.0,5.0,0.0,0.0,0.0,1.0,1.0,Cumplido
Enero - Marzo,1,Operativo,2.10,2.10,CARTAGO,PLANTA,2026,4,2,1,4.0,2.0,2.0,2.0,0.0,0.5,0.5,Bajo
Enero - Marzo,1,Operativo,2.10,2.10,TULUA,CONTRATISTA,2026,9,3,1,10.0,11.0,-1.0,0.0,1.0,1.1,1.0,Supera meta
Enero - Marzo,1,Operativo,2.10,2.10,TULUA,PLANTA,2026,1,1,1,1.0,2.0,-1.0,0.0,1.0,2.0,1.0,Supera meta
Enero - Marzo,1,Operativo,2.18,2.18,CALI,PLANTA,2026,1,1,1,0.0,1.0,-1.0,0.0,1.0,,,Sin dato
Enero - Marzo,1,Operativo,2.2,2.2,TULUA,CONTRATISTA,2026,1,1,1,2.0,2.0,0.0,0.0,0.0,1.0,1.0,Cumplido
Enero - Marzo,1,Operativo,2.2,2.2,TULUA,PLANTA,2026,1,1,1,1.0,0.0,1.0,1.0,0.0,0.0,0.0,Crítico
Enero - Marzo,1,Operativo,2.20,2.20,CALI,PLANTA,2026,1,1,1,2.0,0.0,2.0,2.0,0.0,0.0,0.0,Crítico
Enero - Marzo,1,Operativo,2.20,2.20,CARTAGO,PLANTA,2026,2,2,1,4.0,0.0,4.0,4.0,0.0,0.0,0.0,Crítico
Enero - Marzo,1,Operativo,2.3,2.3,CALI,CONTRATISTA,2026,3,3,1,3.0,0.0,3.0,3.0,0.0,0.0,0.0,Crítico
Enero - Marzo,1,Operativo,2.3,2.3,CALI,PLANTA,2026,7,1,1,2.0,7.0,-5.0,0.0,5.0,3.5,1.0,Supera meta
Enero - Marzo,1,Operativo,2.3,2.3,CARTAGO,CONTRATISTA,2026,6,1,1,6.0,6.0,0.0,0.0,0.0,1.0,1.0,Cumplido
Enero - Marzo,1,Operativo,2.3,2.3,CARTAGO,PLANTA,2026,6,2,1,6.0,11.0,-5.0,1.0,6.0,1.8333333333333333,1.0,Supera meta
Enero - Marzo,1,Operativo,2.3,2.3,TULUA,CONTRATISTA,2026,8,3,1,8.0,8.0,0.0,0.0,0.0,1.0,1.0,Cumplido
Enero - Marzo,1,Operativo,2.3,2.3,TULUA,PLANTA,2026,1,1,1,1.0,1.0,0.0,0.0,0.0,1.0,1.0,Cumplido
Enero - Marzo,1,Operativo,5.2,5.2,CARTAGO,CONTRATISTA,2026,2,1,1,1.0,2.0,-1.0,0.0,1.0,2.0,1.0,Supera meta
Enero - Marzo,1,Operativo,5.2,5.2,CARTAGO,PLANTA,2026,4,1,1,7.0,1.0,6.0,6.0,0.0,0.14285714285714285,0.14285714285714285,Crítico
Enero - Marzo,1,Operativo,5.24,5.24,CARTAGO,PLANTA,2026,4,1,1,10.0,0.0,10.0,10.0,0.0,0.0,0.0,Crítico
Enero - Marzo,1,Operativo,5.34,5.34,CARTAGO,CONTRATISTA,2026,2,1,1,1.0,2.0,-1.0,0.0,1.0,2.0,1.0,Supera meta
Enero - Marzo,1,Operativo,5.4,5.4,CARTAGO,PLANTA,2026,4,1,1,20.0,3.0,17.0,17.0,0.0,0.15,0.15,Crítico
